#datetime;water_level_input
20190729T000228;2.26
20190729T000229;2.26
20190729T000230;2.26
20190729T000231;2.26
20190729T000232;2.26
20190729T000233;2.26
20190729T000234;2.26
20190729T000235;2.26
20190729T000236;2.26
20190729T000237;2.26
20190729T000238;2.26
20190729T000239;2.26
20190729T000240;2.26
20190729T000241;2.26
20190729T000242;2.26
20190729T000243;2.26
20190729T000244;2.26
20190729T000245;2.26
20190729T000246;2.26
20190729T000247;2.26
20190729T000248;2.26
20190729T000249;2.26
20190729T000250;2.26
20190729T000251;2.26
20190729T000252;2.26
20190729T000253;2.26
20190729T000254;2.26
20190729T000255;2.26
20190729T000256;2.26
20190729T000257;2.26
20190729T000258;2.26
20190729T000259;2.26
20190729T000300;2.26
20190729T000301;2.26
20190729T000302;2.26
20190729T000303;2.26
20190729T000304;2.26
20190729T000305;2.26
20190729T000306;2.26
20190729T000307;2.26
20190729T000308;2.26
20190729T000309;2.26
20190729T000310;2.26
20190729T000311;2.26
20190729T000312;2.26
20190729T000313;2.26
20190729T000314;2.26
20190729T000315;2.26
20190729T000316;2.26
20190729T000317;2.26
20190729T000318;2.26
20190729T000319;2.26
20190729T000320;2.26
20190729T000321;2.26
20190729T000322;2.26
20190729T000323;2.26
20190729T000324;2.26
20190729T000325;2.26
20190729T000326;2.26
20190729T000327;2.26
20190729T000328;2.26
20190729T000329;2.26
20190729T000330;2.26
20190729T000331;2.26
20190729T000332;2.26
20190729T000333;2.26
20190729T000334;2.26
20190729T000335;2.26
20190729T000336;2.26
20190729T000337;2.26
20190729T000338;2.26
20190729T000339;2.26
20190729T000340;2.26
20190729T000341;2.26
20190729T000342;2.26
20190729T000343;2.26
20190729T000344;2.26
20190729T000345;2.26
20190729T000346;2.26
20190729T000347;2.26
20190729T000348;2.26
20190729T000349;2.26
20190729T000350;2.26
20190729T000351;2.26
20190729T000352;2.26
20190729T000353;2.26
20190729T000354;2.26
20190729T000355;2.26
20190729T000356;2.26
20190729T000357;2.26
20190729T000358;2.26
20190729T000359;2.26
20190729T000400;2.26
20190729T000401;2.26
20190729T000402;2.26
20190729T000403;2.26
20190729T000404;2.26
20190729T000405;2.26
20190729T000406;2.26
20190729T000407;2.26
20190729T000408;2.26
20190729T000409;2.26
20190729T000410;2.26
20190729T000411;2.26
20190729T000412;2.26
20190729T000413;2.26
20190729T000414;2.26
20190729T000415;2.26
20190729T000416;2.26
20190729T000417;2.26
20190729T000418;2.26
20190729T000419;2.26
20190729T000420;2.26
20190729T000421;2.26
20190729T000422;2.26
20190729T000423;2.26
20190729T000424;2.26
20190729T000425;2.26
20190729T000426;2.26
20190729T000427;2.26
20190729T000428;2.26
20190729T000429;2.26
20190729T000430;2.26
20190729T000431;2.26
20190729T000432;2.26
20190729T000433;2.26
20190729T000434;2.26
20190729T000435;2.26
20190729T000436;2.26
20190729T000437;2.26
20190729T000438;2.26
20190729T000439;2.26
20190729T000440;2.26
20190729T000441;2.26
20190729T000442;2.26
20190729T000443;2.26
20190729T000444;2.26
20190729T000445;2.26
20190729T000446;2.26
20190729T000447;2.26
20190729T000448;2.26
20190729T000449;2.26
20190729T000450;2.26
20190729T000451;2.26
20190729T000452;2.26
20190729T000453;2.26
20190729T000454;2.26
20190729T000455;2.26
20190729T000456;2.26
20190729T000457;2.26
20190729T000458;2.26
20190729T000459;2.26
20190729T000500;2.26
20190729T000501;2.26
20190729T000502;2.26
20190729T000503;2.26
20190729T000504;2.26
20190729T000505;2.26
20190729T000506;2.26
20190729T000507;2.26
20190729T000508;2.26
20190729T000509;2.26
20190729T000510;2.26
20190729T000511;2.26
20190729T000512;2.26
20190729T000513;2.26
20190729T000514;2.26
20190729T000515;2.26
20190729T000516;2.26
20190729T000517;2.26
20190729T000518;2.26
20190729T000519;2.26
20190729T000520;2.26
20190729T000521;2.26
20190729T000522;2.26
20190729T000523;2.26
20190729T000524;2.26
20190729T000525;2.26
20190729T000526;2.26
20190729T000527;2.26
20190729T000528;2.26
20190729T000529;2.26
20190729T000530;2.26
20190729T000531;2.26
20190729T000532;2.26
20190729T000533;2.26
20190729T000534;2.26
20190729T000535;2.26
20190729T000536;2.26
20190729T000537;2.26
20190729T000538;2.26
20190729T000539;2.26
20190729T000540;2.26
20190729T000541;2.26
20190729T000542;2.26
20190729T000543;2.26
20190729T000544;2.26
20190729T000545;2.26
20190729T000546;2.26
20190729T000547;2.26
20190729T000548;2.26
20190729T000549;2.26
20190729T000550;2.26
20190729T000551;2.26
20190729T000552;2.26
20190729T000553;2.26
20190729T000554;2.26
20190729T000555;2.26
20190729T000556;2.26
20190729T000557;2.26
20190729T000558;2.26
20190729T000559;2.26
20190729T000600;2.26
20190729T000601;2.26
20190729T000602;2.26
20190729T000603;2.26
20190729T000604;2.26
20190729T000605;2.26
20190729T000606;2.26
20190729T000607;2.26
20190729T000608;2.26
20190729T000609;2.26
20190729T000610;2.26
20190729T000611;2.26
20190729T000612;2.26
20190729T000613;2.26
20190729T000614;2.26
20190729T000615;2.26
20190729T000616;2.26
20190729T000617;2.26
20190729T000618;2.26
20190729T000619;2.26
20190729T000620;2.26
20190729T000621;2.26
20190729T000622;2.26
20190729T000623;2.26
20190729T000624;2.26
20190729T000625;2.26
20190729T000626;2.26
20190729T000627;2.26
20190729T000628;2.26
20190729T000629;2.26
20190729T000630;2.26
20190729T000631;2.26
20190729T000632;2.26
20190729T000633;2.26
20190729T000634;2.26
20190729T000635;2.26
20190729T000636;2.26
20190729T000637;2.26
20190729T000638;2.26
20190729T000639;2.26
20190729T000640;2.26
20190729T000641;2.26
20190729T000642;2.26
20190729T000643;2.26
20190729T000644;2.26
20190729T000645;2.26
20190729T000646;2.26
20190729T000647;2.26
20190729T000648;2.26
20190729T000649;2.26
20190729T000650;2.26
20190729T000651;2.26
20190729T000652;2.26
20190729T000653;2.26
20190729T000654;2.26
20190729T000655;2.26
20190729T000656;2.26
20190729T000657;2.26
20190729T000658;2.26
20190729T000659;2.26
20190729T000700;2.26
20190729T000701;2.26
20190729T000702;2.26
20190729T000703;2.26
20190729T000704;2.26
20190729T000705;2.26
20190729T000706;2.26
20190729T000707;2.26
20190729T000708;2.26
20190729T000709;2.26
20190729T000710;2.26
20190729T000711;2.26
20190729T000712;2.26
20190729T000713;2.26
20190729T000714;2.26
20190729T000715;2.26
20190729T000716;2.26
20190729T000717;2.26
20190729T000718;2.26
20190729T000719;2.26
20190729T000720;2.26
20190729T000721;2.26
20190729T000722;2.26
20190729T000723;2.26
20190729T000724;2.26
20190729T000725;2.26
20190729T000726;2.26
20190729T000727;2.26
20190729T000728;2.26
20190729T000729;2.26
20190729T000730;2.26
20190729T000731;2.26
20190729T000732;2.26
20190729T000733;2.26
20190729T000734;2.26
20190729T000735;2.26
20190729T000736;2.26
20190729T000737;2.26
20190729T000738;2.26
20190729T000739;2.26
20190729T000740;2.26
20190729T000741;2.26
20190729T000742;2.26
20190729T000743;2.26
20190729T000744;2.26
20190729T000745;2.26
20190729T000746;2.26
20190729T000747;2.26
20190729T000748;2.26
20190729T000749;2.26
20190729T000750;2.26
20190729T000751;2.26
20190729T000752;2.26
20190729T000753;2.26
20190729T000754;2.26
20190729T000755;2.26
20190729T000756;2.26
20190729T000757;2.26
20190729T000758;2.26
20190729T000759;2.26
20190729T000800;2.26
20190729T000801;2.26
20190729T000802;2.26
20190729T000803;2.26
20190729T000804;2.26
20190729T000805;2.26
20190729T000806;2.26
20190729T000807;2.26
20190729T000808;2.26
20190729T000809;2.26
20190729T000810;2.26
20190729T000811;2.26
20190729T000812;2.26
20190729T000813;2.26
20190729T000814;2.26
20190729T000815;2.26
20190729T000816;2.26
20190729T000817;2.26
20190729T000818;2.26
20190729T000819;2.26
20190729T000820;2.26
20190729T000821;2.26
20190729T000822;2.26
20190729T000823;2.26
20190729T000824;2.26
20190729T000825;2.26
20190729T000826;2.26
20190729T000827;2.26
20190729T000828;2.26
20190729T000829;2.26
20190729T000830;2.26
20190729T000831;2.26
20190729T000832;2.26
20190729T000833;2.26
20190729T000834;2.26
20190729T000835;2.26
20190729T000836;2.26
20190729T000837;2.26
20190729T000838;2.26
20190729T000839;2.26
20190729T000840;2.26
20190729T000841;2.26
20190729T000842;2.26
20190729T000843;2.26
20190729T000844;2.26
20190729T000845;2.26
20190729T000846;2.26
20190729T000847;2.26
20190729T000848;2.26
20190729T000849;2.26
20190729T000850;2.26
20190729T000851;2.26
20190729T000852;2.26
20190729T000853;2.26
20190729T000854;2.26
20190729T000855;2.26
20190729T000856;2.26
20190729T000857;2.26
20190729T000858;2.26
20190729T000859;2.26
20190729T000900;2.26
20190729T000901;2.26
20190729T000902;2.26
20190729T000903;2.26
20190729T000904;2.26
20190729T000905;2.26
20190729T000906;2.26
20190729T000907;2.26
20190729T000908;2.26
20190729T000909;2.26
20190729T000910;2.26
20190729T000911;2.26
20190729T000912;2.26
20190729T000913;2.26
20190729T000914;2.26
20190729T000915;2.26
20190729T000916;2.26
20190729T000917;2.26
20190729T000918;2.26
20190729T000919;2.26
20190729T000920;2.26
20190729T000921;2.26
20190729T000922;2.26
20190729T000923;2.26
20190729T000924;2.26
20190729T000925;2.26
20190729T000926;2.26
20190729T000927;2.26
20190729T000928;2.26
20190729T000929;2.26
20190729T000930;2.26
20190729T000931;2.26
20190729T000932;2.26
20190729T000933;2.26
20190729T000934;2.26
20190729T000935;2.26
20190729T000936;2.26
20190729T000937;2.26
20190729T000938;2.26
20190729T000939;2.26
20190729T000940;2.26
20190729T000941;2.26
20190729T000942;2.26
20190729T000943;2.26
20190729T000944;2.26
20190729T000945;2.26
20190729T000946;2.26
20190729T000947;2.26
20190729T000948;2.26
20190729T000949;2.26
20190729T000950;2.26
20190729T000951;2.26
20190729T000952;2.26
20190729T000953;2.26
20190729T000954;2.26
20190729T000955;2.26
20190729T000956;2.26
20190729T000957;2.26
20190729T000958;2.26
20190729T000959;2.26
20190729T001000;2.26
20190729T001001;2.26
20190729T001002;2.26
20190729T001003;2.26
20190729T001004;2.26
20190729T001005;2.26
20190729T001006;2.26
20190729T001007;2.26
20190729T001008;2.26
20190729T001009;2.26
20190729T001010;2.26
20190729T001011;2.26
20190729T001012;2.26
20190729T001013;2.26
20190729T001014;2.26
20190729T001015;2.26
20190729T001016;2.26
20190729T001017;2.26
20190729T001018;2.26
20190729T001019;2.26
20190729T001020;2.26
20190729T001021;2.26
20190729T001022;2.26
20190729T001023;2.26
20190729T001024;2.26
20190729T001025;2.26
20190729T001026;2.26
20190729T001027;2.26
20190729T001028;2.26
20190729T001029;2.26
20190729T001030;2.26
20190729T001031;2.26
20190729T001032;2.26
20190729T001033;2.26
20190729T001034;2.26
20190729T001035;2.26
20190729T001036;2.26
20190729T001037;2.26
20190729T001038;2.26
20190729T001039;2.26
20190729T001040;2.26
20190729T001041;2.26
20190729T001042;2.26
20190729T001043;2.26
20190729T001044;2.26
20190729T001045;2.26
20190729T001046;2.26
20190729T001047;2.26
20190729T001048;2.26
20190729T001049;2.26
20190729T001050;2.26
20190729T001051;2.26
20190729T001052;2.26
20190729T001053;2.26
20190729T001054;2.26
20190729T001055;2.26
20190729T001056;2.26
20190729T001057;2.26
20190729T001058;2.26
20190729T001059;2.26
20190729T001100;2.26
20190729T001101;2.26
20190729T001102;2.26
20190729T001103;2.26
20190729T001104;2.26
20190729T001105;2.26
20190729T001106;2.26
20190729T001107;2.26
20190729T001108;2.26
20190729T001109;2.26
20190729T001110;2.26
20190729T001111;2.26
20190729T001112;2.26
20190729T001113;2.26
20190729T001114;2.26
20190729T001115;2.26
20190729T001116;2.26
20190729T001117;2.26
20190729T001118;2.26
20190729T001119;2.26
20190729T001120;2.26
20190729T001121;2.26
20190729T001122;2.26
20190729T001123;2.26
20190729T001124;2.26
20190729T001125;2.26
20190729T001126;2.26
20190729T001127;2.26
20190729T001128;2.26
20190729T001129;2.26
20190729T001130;2.26
20190729T001131;2.26
20190729T001132;2.26
20190729T001133;2.26
20190729T001134;2.26
20190729T001135;2.26
20190729T001136;2.26
20190729T001137;2.26
20190729T001138;2.26
20190729T001139;2.26
20190729T001140;2.26
20190729T001141;2.26
20190729T001142;2.26
20190729T001143;2.26
20190729T001144;2.26
20190729T001145;2.26
20190729T001146;2.26
20190729T001147;2.26
20190729T001148;2.26
20190729T001149;2.26
20190729T001150;2.26
20190729T001151;2.26
20190729T001152;2.26
20190729T001153;2.26
20190729T001154;2.26
20190729T001155;2.26
20190729T001156;2.26
20190729T001157;2.26
20190729T001158;2.26
20190729T001159;2.26
20190729T001200;2.26
20190729T001201;2.26
20190729T001202;2.26
20190729T001203;2.26
20190729T001204;2.26
20190729T001205;2.26
20190729T001206;2.26
20190729T001207;2.26
20190729T001208;2.26
20190729T001209;2.26
20190729T001210;2.26
20190729T001211;2.26
20190729T001212;2.26
20190729T001213;2.26
20190729T001214;2.26
20190729T001215;2.26
20190729T001216;2.26
20190729T001217;2.26
20190729T001218;2.26
20190729T001219;2.26
20190729T001220;2.26
20190729T001221;2.26
20190729T001222;2.26
20190729T001223;2.26
20190729T001224;2.26
20190729T001225;2.26
20190729T001226;2.26
20190729T001227;2.26
20190729T001228;2.26
20190729T001229;2.26
20190729T001230;2.26
20190729T001231;2.26
20190729T001232;2.26
20190729T001233;2.26
20190729T001234;2.26
20190729T001235;2.26
20190729T001236;2.26
20190729T001237;2.26
20190729T001238;2.26
20190729T001239;2.26
20190729T001240;2.26
20190729T001241;2.26
20190729T001242;2.26
20190729T001243;2.26
20190729T001244;2.26
20190729T001245;2.26
20190729T001246;2.26
20190729T001247;2.26
20190729T001248;2.26
20190729T001249;2.26
20190729T001250;2.26
20190729T001251;2.26
20190729T001252;2.26
20190729T001253;2.26
20190729T001254;2.26
20190729T001255;2.26
20190729T001256;2.26
20190729T001257;2.26
20190729T001258;2.26
20190729T001259;2.26
20190729T001300;2.26
20190729T001301;2.26
20190729T001302;2.26
20190729T001303;2.26
20190729T001304;2.26
20190729T001305;2.26
20190729T001306;2.26
20190729T001307;2.26
20190729T001308;2.26
20190729T001309;2.26
20190729T001310;2.26
20190729T001311;2.26
20190729T001312;2.26
20190729T001313;2.26
20190729T001314;2.26
20190729T001315;2.26
20190729T001316;2.26
20190729T001317;2.26
20190729T001318;2.26
20190729T001319;2.26
20190729T001320;2.26
20190729T001321;2.26
20190729T001322;2.26
20190729T001323;2.26
20190729T001324;2.26
20190729T001325;2.26
20190729T001326;2.26
20190729T001327;2.26
20190729T001328;2.26
20190729T001329;2.26
20190729T001330;2.26
20190729T001331;2.26
20190729T001332;2.26
20190729T001333;2.26
20190729T001334;2.26
20190729T001335;2.26
20190729T001336;2.26
20190729T001337;2.26
20190729T001338;2.26
20190729T001339;2.26
20190729T001340;2.26
20190729T001341;2.26
20190729T001342;2.26
20190729T001343;2.26
20190729T001344;2.26
20190729T001345;2.26
20190729T001346;2.26
20190729T001347;2.26
20190729T001348;2.26
20190729T001349;2.26
20190729T001350;2.26
20190729T001351;2.26
20190729T001352;2.26
20190729T001353;2.26
20190729T001354;2.26
20190729T001355;2.26
20190729T001356;2.26
20190729T001357;2.26
20190729T001358;2.26
20190729T001359;2.26
20190729T001400;2.26
20190729T001401;2.26
20190729T001402;2.26
20190729T001403;2.26
20190729T001404;2.26
20190729T001405;2.26
20190729T001406;2.26
20190729T001407;2.26
20190729T001408;2.26
20190729T001409;2.26
20190729T001410;2.26
20190729T001411;2.26
20190729T001412;2.26
20190729T001413;2.26
20190729T001414;2.26
20190729T001415;2.26
20190729T001416;2.26
20190729T001417;2.26
20190729T001418;2.26
20190729T001419;2.26
20190729T001420;2.26
20190729T001421;2.26
20190729T001422;2.26
20190729T001423;2.26
20190729T001424;2.26
20190729T001425;2.26
20190729T001426;2.26
20190729T001427;2.26
20190729T001428;2.26
20190729T001429;2.26
20190729T001430;2.26
20190729T001431;2.26
20190729T001432;2.26
20190729T001433;2.26
20190729T001434;2.26
20190729T001435;2.26
20190729T001436;2.26
20190729T001437;2.26
20190729T001438;2.26
20190729T001439;2.26
20190729T001440;2.26
20190729T001441;2.26
20190729T001442;2.26
20190729T001443;2.26
20190729T001444;2.26
20190729T001445;2.26
20190729T001446;2.26
20190729T001447;2.26
20190729T001448;2.26
20190729T001449;2.26
20190729T001450;2.26
20190729T001451;2.26
20190729T001452;2.26
20190729T001453;2.26
20190729T001454;2.26
20190729T001455;2.26
20190729T001456;2.26
20190729T001457;2.26
20190729T001458;2.26
20190729T001459;2.26
20190729T001500;2.26
20190729T001501;2.26
20190729T001502;2.26
20190729T001503;2.26
20190729T001504;2.26
20190729T001505;2.26
20190729T001506;2.26
20190729T001507;2.26
20190729T001508;2.26
20190729T001509;2.26
20190729T001510;2.26
20190729T001511;2.26
20190729T001512;2.26
20190729T001513;2.26
20190729T001514;2.26
20190729T001515;2.26
20190729T001516;2.26
20190729T001517;2.26
20190729T001518;2.26
20190729T001519;2.26
20190729T001520;2.26
20190729T001521;2.26
20190729T001522;2.26
20190729T001523;2.26
20190729T001524;2.26
20190729T001525;2.26
20190729T001526;2.26
20190729T001527;2.26
20190729T001528;2.26
20190729T001529;2.26
20190729T001530;2.26
20190729T001531;2.26
20190729T001532;2.26
20190729T001533;2.26
20190729T001534;2.26
20190729T001535;2.26
20190729T001536;2.26
20190729T001537;2.26
20190729T001538;2.26
20190729T001539;2.26
20190729T001540;2.26
20190729T001541;2.26
20190729T001542;2.26
20190729T001543;2.26
20190729T001544;2.26
20190729T001545;2.26
20190729T001546;2.26
20190729T001547;2.26
20190729T001548;2.26
20190729T001549;2.26
20190729T001550;2.26
20190729T001551;2.26
20190729T001552;2.26
20190729T001553;2.26
20190729T001554;2.26
20190729T001555;2.26
20190729T001556;2.26
20190729T001557;2.26
20190729T001558;2.26
20190729T001559;2.26
20190729T001600;2.26
20190729T001601;2.26
20190729T001602;2.26
20190729T001603;2.26
20190729T001604;2.26
20190729T001605;2.26
20190729T001606;2.26
20190729T001607;2.26
20190729T001608;2.26
20190729T001609;2.26
20190729T001610;2.26
20190729T001611;2.26
20190729T001612;2.26
20190729T001613;2.26
20190729T001614;2.26
20190729T001615;2.26
20190729T001616;2.26
20190729T001617;2.26
20190729T001618;2.26
20190729T001619;2.26
20190729T001620;2.26
20190729T001621;2.26
20190729T001622;2.26
20190729T001623;2.26
20190729T001624;2.26
20190729T001625;2.26
20190729T001626;2.26
20190729T001627;2.26
20190729T001628;2.26
20190729T001629;2.26
20190729T001630;2.26
20190729T001631;2.26
20190729T001632;2.26
20190729T001633;2.26
20190729T001634;2.26
20190729T001635;2.26
20190729T001636;2.26
20190729T001637;2.26
20190729T001638;2.26
20190729T001639;2.26
20190729T001640;2.26
20190729T001641;2.26
20190729T001642;2.26
20190729T001643;2.26
20190729T001644;2.26
20190729T001645;2.26
20190729T001646;2.26
20190729T001647;2.26
20190729T001648;2.26
20190729T001649;2.26
20190729T001650;2.26
20190729T001651;2.26
20190729T001652;2.26
20190729T001653;2.26
20190729T001654;2.26
20190729T001655;2.26
20190729T001656;2.26
20190729T001657;2.26
20190729T001658;2.26
20190729T001659;2.26
20190729T001700;2.26
20190729T001701;2.26
20190729T001702;2.26
20190729T001703;2.26
20190729T001704;2.26
20190729T001705;2.26
20190729T001706;2.26
20190729T001707;2.26
20190729T001708;2.26
20190729T001709;2.26
20190729T001710;2.26
20190729T001711;2.26
20190729T001712;2.26
20190729T001713;2.26
20190729T001714;2.26
20190729T001715;2.26
20190729T001716;2.26
20190729T001717;2.26
20190729T001718;2.26
20190729T001719;2.26
20190729T001720;2.26
20190729T001721;2.26
20190729T001722;2.26
20190729T001723;2.26
20190729T001724;2.26
20190729T001725;2.26
20190729T001726;2.26
20190729T001727;2.26
20190729T001728;2.26
20190729T001729;2.26
20190729T001730;2.26
20190729T001731;2.26
20190729T001732;2.26
20190729T001733;2.26
20190729T001734;2.26
20190729T001735;2.26
20190729T001736;2.26
20190729T001737;2.26
20190729T001738;2.26
20190729T001739;2.26
20190729T001740;2.26
20190729T001741;2.26
20190729T001742;2.26
20190729T001743;2.26
20190729T001744;2.26
20190729T001745;2.26
20190729T001746;2.26
20190729T001747;2.26
20190729T001748;2.26
20190729T001749;2.26
20190729T001750;2.26
20190729T001751;2.26
20190729T001752;2.26
20190729T001753;2.26
20190729T001754;2.26
20190729T001755;2.26
20190729T001756;2.26
20190729T001757;2.26
20190729T001758;2.26
20190729T001759;2.26
20190729T001800;2.26
20190729T001801;2.26
20190729T001802;2.26
20190729T001803;2.26
20190729T001804;2.26
20190729T001805;2.26
20190729T001806;2.26
20190729T001807;2.26
20190729T001808;2.26
20190729T001809;2.26
20190729T001810;2.26
20190729T001811;2.26
20190729T001812;2.26
20190729T001813;2.26
20190729T001814;2.26
20190729T001815;2.26
20190729T001816;2.26
20190729T001817;2.26
20190729T001818;2.26
20190729T001819;2.26
20190729T001820;2.26
20190729T001821;2.26
20190729T001822;2.26
20190729T001823;2.26
20190729T001824;2.26
20190729T001825;2.26
20190729T001826;2.26
20190729T001827;2.26
20190729T001828;2.26
20190729T001829;2.26
20190729T001830;2.26
20190729T001831;2.26
20190729T001832;2.26
20190729T001833;2.26
20190729T001834;2.26
20190729T001835;2.26
20190729T001836;2.26
20190729T001837;2.26
20190729T001838;2.26
20190729T001839;2.26
20190729T001840;2.26
20190729T001841;2.26
20190729T001842;2.26
20190729T001843;2.26
20190729T001844;2.26
20190729T001845;2.26
20190729T001846;2.26
20190729T001847;2.26
20190729T001848;2.26
20190729T001849;2.26
20190729T001850;2.26
20190729T001851;2.26
20190729T001852;2.26
20190729T001853;2.26
20190729T001854;2.26
20190729T001855;2.26
20190729T001856;2.26
20190729T001857;2.26
20190729T001858;2.26
20190729T001859;2.26
20190729T001900;2.26
20190729T001901;2.26
20190729T001902;2.26
20190729T001903;2.26
20190729T001904;2.26
20190729T001905;2.26
20190729T001906;2.26
20190729T001907;2.26
20190729T001908;2.26
20190729T001909;2.26
20190729T001910;2.26
20190729T001911;2.26
20190729T001912;2.26
20190729T001913;2.26
20190729T001914;2.26
20190729T001915;2.26
20190729T001916;2.26
20190729T001917;2.26
20190729T001918;2.26
20190729T001919;2.26
20190729T001920;2.26
20190729T001921;2.26
20190729T001922;2.26
20190729T001923;2.26
20190729T001924;2.26
20190729T001925;2.26
20190729T001926;2.26
20190729T001927;2.26
20190729T001928;2.26
20190729T001929;2.26
20190729T001930;2.26
20190729T001931;2.26
20190729T001932;2.26
20190729T001933;2.26
20190729T001934;2.26
20190729T001935;2.26
20190729T001936;2.26
20190729T001937;2.26
20190729T001938;2.26
20190729T001939;2.26
20190729T001940;2.26
20190729T001941;2.26
20190729T001942;2.26
20190729T001943;2.26
20190729T001944;2.26
20190729T001945;2.26
20190729T001946;2.26
20190729T001947;2.26
20190729T001948;2.26
20190729T001949;2.26
20190729T001950;2.26
20190729T001951;2.26
20190729T001952;2.26
20190729T001953;2.26
20190729T001954;2.26
20190729T001955;2.26
20190729T001956;2.26
20190729T001957;2.26
20190729T001958;2.26
20190729T001959;2.26
20190729T002000;2.26
20190729T002001;2.26
20190729T002002;2.26
20190729T002003;2.26
20190729T002004;2.26
20190729T002005;2.26
20190729T002006;2.26
20190729T002007;2.26
20190729T002008;2.26
20190729T002009;2.26
20190729T002010;2.26
20190729T002011;2.26
20190729T002012;2.26
20190729T002013;2.26
20190729T002014;2.26
20190729T002015;2.26
20190729T002016;2.26
20190729T002017;2.26
20190729T002018;2.26
20190729T002019;2.26
20190729T002020;2.26
20190729T002021;2.26
20190729T002022;2.26
20190729T002023;2.26
20190729T002024;2.26
20190729T002025;2.26
20190729T002026;2.26
20190729T002027;2.26
20190729T002028;2.26
20190729T002029;2.26
20190729T002030;2.26
20190729T002031;2.26
20190729T002032;2.26
20190729T002033;2.26
20190729T002034;2.26
20190729T002035;2.26
20190729T002036;2.26
20190729T002037;2.26
20190729T002038;2.26
20190729T002039;2.26
20190729T002040;2.26
20190729T002041;2.26
20190729T002042;2.26
20190729T002043;2.26
20190729T002044;2.26
20190729T002045;2.26
20190729T002046;2.26
20190729T002047;2.26
20190729T002048;2.26
20190729T002049;2.26
20190729T002050;2.26
20190729T002051;2.26
20190729T002052;2.26
20190729T002053;2.26
20190729T002054;2.26
20190729T002055;2.26
20190729T002056;2.26
20190729T002057;2.26
20190729T002058;2.26
20190729T002059;2.26
20190729T002100;2.26
20190729T002101;2.26
20190729T002102;2.26
20190729T002103;2.26
20190729T002104;2.26
20190729T002105;2.26
20190729T002106;2.26
20190729T002107;2.26
20190729T002108;2.26
